,Unnamed: 0,tax,income,csp,age,educ,marital,race,sex,ss
1187,1236,0,3917,0,75,35,4,2,2,3882
1188,1237,7,22146,0,90,34,4,2,2,2946
1189,1238,1600,87050,0,51,40,1,2,1,0
1190,1239,0,21883,0,83,39,4,1,2,10794
1191,1240,700,22897,0,60,40,5,2,2,0
1192,1241,9997,19626,0,56,45,1,1,2,0
1193,1242,275,20800,0,30,40,1,1,1,0
1194,1243,1200,66001,0,46,43,5,1,1,0
1195,1244,1484,33600,0,60,43,1,1,1,0
1196,1245,2358,27854,0,76,39,4,1,1,10104
1197,1246,0,54777,0,35,38,1,1,2,0
1198,1248,0,33352,0,22,39,7,1,1,0
1199,1249,425,65812,0,48,43,1,1,2,0
1200,1250,0,29000,0,50,39,7,2,2,0
1201,1251,0,19000,0,26,39,1,2,1,0
1202,1253,1457,28654,0,49,43,7,1,2,0
1203,1254,0,104050,0,45,35,1,1,1,0
1204,1255,350,52160,0,41,43,1,1,1,0
1205,1256,386,71514,0,52,39,1,1,1,0
1206,1257,583,81300,0,49,43,1,1,2,0
1207,1258,850,47485,6000,44,44,5,1,2,0
1208,1259,6000,109800,0,62,46,1,1,1,0
1209,1260,1300,96378,0,85,46,4,1,1,20958
1210,1261,1600,37046,0,70,40,4,1,2,16000
1211,1262,0,23199,0,84,39,4,1,2,10146
1212,1263,1300,158000,0,34,43,1,1,1,0
1213,1264,2200,42692,0,69,44,1,1,1,11346
1214,1265,2000,54206,0,61,32,1,1,1,0
1215,1266,0,44444,0,90,46,7,1,2,11406
1216,1267,0,18198,0,69,44,5,1,1,2106
1217,1268,1200,21295,6780,43,39,6,1,2,0
1218,1269,2500,249000,0,61,43,1,1,1,0
1219,1270,13500,241339,0,49,43,6,1,1,0
1220,1271,0,49012,0,37,43,1,1,1,0
1221,1272,8307,44640,0,59,39,5,1,2,0
1222,1273,0,28120,0,50,39,5,1,1,0
1223,1274,0,30643,0,72,37,5,1,1,5628
1224,1275,0,48000,0,39,41,7,1,1,0
1225,1276,1500,36384,0,40,43,7,1,1,0
1226,1277,1800,21140,0,45,39,7,1,1,10686
1227,1278,980,106060,0,55,39,1,1,1,0
1228,1279,3500,78196,0,46,40,1,1,1,0
1229,1280,1300,25007,0,23,39,1,1,1,0
1230,1281,0,74509,0,32,44,7,1,1,0
1231,1282,2227,12400,0,57,33,4,1,2,8400
1232,1284,1912,39250,0,37,36,1,1,1,0
1233,1285,0,15102,0,70,31,1,1,1,7122
1234,1286,600,17503,0,81,39,4,1,2,5346
1235,1287,600,12925,0,67,37,5,1,2,9306
1236,1288,770,35100,0,28,39,7,1,1,0
1237,1289,1350,42556,5800,49,43,5,1,2,0
1238,1290,2000,27864,0,61,39,1,1,2,0
1239,1291,0,11900,0,31,43,1,1,1,0
1240,1292,0,13646,0,44,43,7,1,1,9126
1241,1293,7280,154544,0,60,44,1,1,2,7200
1242,1294,1400,72135,0,51,37,1,1,1,0
1243,1295,1800,17016,0,75,42,1,1,2,5982
1244,1296,3000,43034,0,59,39,1,1,2,0
1245,1297,0,23825,0,32,37,7,4,1,0
1246,1298,1000,62887,0,60,43,7,1,1,9219
1247,1299,2500,105305,0,37,43,1,2,2,0
1248,1300,1078,41383,0,82,37,4,1,2,10782
